seeds: 72424080 18256724 17856874 21795937 56684194 13186661 4083132 5150098 96081241 56580154 51183426 2828022 91700149 2044587 71702379 696504 43034742 2171885 46297276 435632 42245371 599763 15711362 834474 40223558 166169 15123928 41071 10183909 4518457 961777 3117705 48010199 1222164 94560567 258375 49243931 1043051 507069 407271 42069670 14386 46788648 153855 54895204 846238 293950 12 90718946 792928 50592162 73892 45264310 1029950 41313268 656045 40633290 175383 46970531 702942 54086865 456081 16768942 891605 16590732 23257 70445002 977901 40875757 22347 95213608 33994 9985593 177637 40091566 110973 39834343 114967 95517789 461242 40489923 118956 54784190 22245 17766940 71952 9243657 125991 71543069 148077 95251224 205969 56120091 242238 47763017 3172 94254682 75616 50666569 1804

seed-to-soil map:
85372572 8436558 2539
28348341 49815818 5764
16629164 50847459 28032888
92254151 85209292 40926475
56287819 30596830 8678
97632031 84420970 9948
72941769 19150076 271
42244567 27263901 847
18405290 39882589 6890
93574344 6320636 9750
11992398 81750742 414
34487718 44897510 855
39789384 22469916 5097
85569927 13634523 3432
99495932 8176899 4417
39972855 5179313 3991
30787544 82579533 5803
85614636 29165074 6723
64769272 9679843 6268
1175891 36934752 8363
90121899 82654317 5705
95007309 83211638 9096
56460314 30878514 8683
67119883 8810765 7404
77619931 33016186 6276
91640611 7762279 8039
90843092 45621315 1917
70339657 22509159 6485
3155392 23369421 7045
95619386 8849612 7127
28303619 35612171 3233
96187396 44375020 1135
73655402 18380997 9777
89348782 41262105 7927
18289700 9508511 4669
85361428 34941582 6515
82885359 40974696 7867
57545039 6766001 7391
42145222 8317068 6721
41766877 17971385 7601
57452664 44298320 9252
36150243 45104333 5408
88011538 42678689 3745
53438338 19824 7348
88850998 13536916 7822
60198202 48798722 1196
53532436 34928976 1072
22678927 333044 9728
12758994 40882668 3031
53482506 13267672 1797
59036718 48430033 9171
27379668 36444148 2476
86104703 81265432 2904
93645822 44908464 2766
35514107 46109548 3846
56636483 48611541 5076
41543567 44075577 1153
62685212 82697236 2533
56023789 26789155 8101
15967600 7991277 8376
41393720 22508117 380
83877025 30530208 3654
91209765 81546855 5761
39655204 79213021 7003
52639630 23243990 9128
63785773 14351616 2530
71010017 41816486 9537
47773124 8972098 7679
76335862 8636352 9929
9018958 46251688 9603
70306250 46045146 2156
16540119 83692600 270
79098278 30478377 4591
35324733 80508350 9753
76481937 48215364 27
27248019 32705546 7371
6163742 83264331 4124
35166179 18524463 2476
88963213 18046476 6596
88643212 81475204 4891
86263468 29015879 4570
69541667 16797996 8432
8705612 6863644 9960
50108292 30301843 3903
94194986 37413998 740
61819141 33069346 4905
3266611 47862321 5412
92272809 34775525 8948
94188341 18228569 7768
1974800 49521140 6018
76292450 20037767 911
98859462 48920070 462
69319448 22868167 5764
51801794 13052800 1704
36520768 24238773 1277
87767009 23721407 950
59776816 41335626 7462
98801954 50121615 3834
